"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-03","55","73","43"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-04","62","72","44"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-05","48","45","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-06","42","47","37"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-07","42","51","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-08","44","46","39"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-09","41","45","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-10","37","47","30"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-11","45","67","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-12","58","71","47"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-13","59","69","48"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-14","52","64","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-15","43","54","37"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-16","46","58","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-17","39","41","29"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-18","30","37","24"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-19","38","58","29"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-20","41","44","29"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-21","33","41","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-22","35","39","31"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-23","34","38","28"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-24","37","48","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-25","51","63","46"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-26","51","55","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-27","34","42","29"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-28","38","51","29"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-29","42","54","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-30","48","61","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-03-31","43","54","38"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-04-01","44","48","42"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-04-02","43","45","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-04-03","36","39","34"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-04-04","38","45","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-04-05","42","49","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-04-06","38",,
